ICCATSerialNo,OLDICCATSerialNo,NatRegNo,IntRegNo,IRNoTypeCode,IRCS,VesselName,FlagVesCode,FlagRepCode,FlagChartCode,IsscfvCode,IsscfgCode,LOAm,Tonnage,TonTypeCode,CarCapacity,CarCapUnitCode,ExternalMark,YearBuilt,ShipyardNatID,HomePort,DepthM,EnginePowerHP,VmsComSysCode,P20m_ddIF,SWOn_ddIF,SWOs_ddIF,ALBn_ddIF,ALBs_ddIF,Trop_ddIF,SWOm_ddIF,ALBm_ddIF,BFEc_ddIF,BFEo_ddIF,Carr_ddIF,Char_ddIF,P20m_dtFrom,P20m_dtTo,P20m_dtNotif,P20m_RM,SWOn_dtFrom,SWOn_dtTo,SWOn_dtNotif,SWOs_dtFrom,SWOs_dtTo,SWOs_dtNotif,ALBn_dtFrom,ALBn_dtTo,ALBn_dtNotif,ALBs_dtFrom,ALBs_dtTo,ALBs_dtNotif,Trop_dtFrom,Trop_dtTo,Trop_dtNotif,Trop_RM,SWOm_dtFrom,SWOm_dtTo,SWOm_dtNotif,ALBm_dtFrom,ALBm_dtTo,ALBm_dtNotif,BFEc_dtFrom,BFEc_dtTo,BFEc_dtNotif,BFEc_CatchQuota,BFEc_YearQuota,BFEo_dtFrom,BFEo_dtTo,BFEo_dtNotif,Carr_dtFrom,Carr_dtTo,Carr_dtNotif,Char_dtFrom,Char_dtTo,Char_dtNotif,OpName,OpAddress,OpCity,OpZipCd,OpCountry,OwName,OwAddress,OwCity,OwZipCd,OwCountry
"AT0069137","","59427-PEXT","8819275","IMO","3E9081","SCOMBRUS","PAN","ICCAT-RMA","","FO","NAP","102.5","5084.0","GRT","7525.8","m3","SCOMBRUS","1991","017","Panama","9.8","4045.0","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KORAL LOGISTICS LTD","Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands, MH 96960","MAJURO","","MHL","KORAL LOGISTICS LTD","Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands, MH 96960","MAJURO","","MHL"
"AT0016219","AT000PAN00119","54827-23-C","7625500","IMO","3FRF5","MONTELAURA","PAN","PAN","","FO","NAP","91.23","2695.0","GRT","4971.66","m3","MONTELAURA","1983","070","Panama","7.7","2800.0","INMSAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GESTRA CORPORATION, S.A","CARRETERA LA CORUÑA FINISTERRE, KM 34.5 15106 CARBALLO LA CORUÑA, ESPAÑA","A COROÑA","","EU-ESP","GESTRA CORPORATION, S.A","CARRETERA LA CORUÑA FINISTERRE, KM 34.5 15106 CARBALLO LA CORUÑA, ESPAÑA","A COROÑA","","EU-ESP"
"AT0004560","AT000PAN00172","27271-00-G","9174701","IMO","H3LU","MARTA REEFER","PAN","PAN","","FO","NAP","113.37","4490.0","GRT","5742.0","m3","MARTA REEFER","1997","012","Panama","10.0","4014.32","INMSAT-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FARO NAVIGATION CORP","MMG TOWER PISO 23 PASEO DEL MAR AVE.COSTA DEL ESTE","Panama","","PAN","FARO NAVIGATION CORP","MMG TOWER PISO 23 PASEO DEL MAR AVE.COSTA DEL ESTE","Panama","","PAN"
"AT0004562","AT000PAN00174","27341-00-G","9109263","IMO","H3OD","Bao Win","PAN","PAN","","FO","NAP","83.76","2596.0","GRT","4031.23","m3","BAO WIN","1994","013","Panama","9.9","4018.77","INMSAT-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PANAMA TRL S.A","JUSTO AROSEMENA AVENUE & 32 ND ST, NO. 3-32","PANAMA","","PAN","PANAMA TRL S.A","JUSTO AROSEMENA AVENUE & 32 ND ST, NO. 3-32","PANAMA","","PAN"
"AT0036143","AT000PAN00193","46561-15-C","8807662","IMO","3EHL5","FRIO POSEIDON","PAN","PAN","","FO","NAP","140.44","9072.0","GRT","7163.0","m3","FRIO POSEIDON","1989","012","PANAMA","12.8","9199.73","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DREAM FAITH, S.A","VIA ESPAÑA 122, DELTA TOWER FLOOR, 14 CITY OF PANAMA, REPUBLIC OF PANAMA","PANAMA","","PAN","DREAM FAITH, S.A","VIA ESPAÑA 122, DELTA TOWER FLOOR, 14 CITY OF PANAMA, REPUBLIC OF PANAMA","PANAMA","","PAN"
"AT0036144","AT000PAN00194","46927-15-CH","9072824","IMO","3EJD5","AVUNDA REEFER","PAN","PAN","","FO","NAP","125.01","7313.0","GRT","7371.0","m3","AVUNDA REEFER","1994","012","Panama","10.17","9463.81","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LILIUM SHIPPING CO., S.A.","SMAUEL LEWIS AVENUE, COMOSA BUILDING, FIRST FLOOR, PANAMA CITY, REPUBLIC OF PANAMA","Panama","","PAN","LILIUM SHIPPING CO., S.A.","SMAUEL LEWIS AVENUE, COMOSA BUILDING, FIRST FLOOR, PANAMA CITY, REPUBLIC OF PANAMA","Panama","","PAN"
"AT0036327","AT000PAN00200","19977-92-J","9015838","IMO","3EFN9","NEW TAKATSUKI","PAN","PAN","","FO","NAP","113.34","4446.0","GRT","6714.86","m3","NEW TAKATSUKI","1991","012","PANAMA","10.0","5522.79","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NEW POWER SHIP, S.A","C/O KYOEI KAIUN KAISHA. LTD. 5TH FLOOR, KINKAME BLDG., 1-CHOME, HIGASHI NIHONBASHI, CHUO-KU, TOKYO, JAPAN","Tokyo","","JPN","NEW POWER SHIP, S.A","C/O KYOEI KAIUN KAISHA. LTD. 5TH FLOOR, KINKAME BLDG., 1-CHOME, HIGASHI NIHONBASHI, CHUO-KU, TOKYO, JAPAN","Tokyo","","JPN"
"AT0004566","AT000PAN00223","43094-11-CH","9142289","IMO","3FYM4","SALGIR","PAN","PAN","","FO","NAP","93.36","3767.0","GRT","4766.0","m3","SALGIR","1996","012","PANAMA","9.9","4140.75","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SALGIR SHIPPING LTD","1ST FLOOR, INTERNATIONAL, BUILDING, LINI HIGHWAY, PORT VILA, VANUATU","PORT VILA","","VUT","SALGIR SHIPPING LTD","1ST FLOOR, INTERNATIONAL, BUILDING, LINI HIGHWAY, PORT VILA, VANUATU","PORT VILA","","VUT"
"AT0056524","AT000PAN00231","25850-98-H","9172703","IMO","3FTB8","FRIO AEGEAN","PAN","PAN","","FO","NAP","120.98","6973.0","GRT","10615.4","un","FRIO AEGEAN ","1998","012","PAN","12.8","9733.15","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ROSSE OCEANWAY S.A","80 BROAD STREET MONROVIA, LIBERIA","MONROVIA","","LBR","ROSSE OCEANWAY S.A","80 BROAD STREET MONROVIA, LIBERIA","MONROVIA","","LBR"
"AT0060224","AT000PAN00236","50245-19-B","9152181","IMO","3EYS5","TAGANROGSKIY ZALIV","PAN","PAN","","FO","NAP","134.74","8879.0","GRT","14858.1","m3","TAGANROGSKIY Z.","1997","012","Panama","13.0","12906.2","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DELIA NAVIGATION CORP","80 BROAD STREET MONROVIA, LIBERIA","Liberia","","LBR","DELIA NAVIGATION CORP","80 BROAD STREET MONROVIA, LIBERIA","Liberia","","LBR"
"AT0060425","AT000PAN00237","45352-13-CH","9227601","IMO","3FWC9","NO. 2 POHAH","PAN","PAN","","FO","NAP","113.38","4513.0","GRT","6655.49","m3","NO. 2 POHAH","2000","012","Panama","10.0","4120.0","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOK CO. LTD., S.A.","5TH FLOOR OF CEMENTO PANAMA BUILDING","PANAMA","4493","PAN","NOK CO. LTD., S.A.","5TH FLOOR OF CEMENTO PANAMA BUILDING","PANAMA","4493","PAN"
"AT0060452","AT000PAN00243","50214-19-B","9851191","IMO","3EGZ","BOYANG BERING","PAN","PAN","","FO","NAP","127.81","6592.0","GRT","8710.45","m3","BOYANG BERING","2018","012","Panama","10.3","6099.2","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BY BERING S.A.","BICSA FINANCIAL CENTER, PISO 60, AVENIDA BALBOA","Panama","","PAN","BY BERING S.A.","BICSA FINANCIAL CENTER, PISO 60, AVENIDA BALBOA","Panama","","PAN"
"AT0004556","AT000PAN00255","47531-16-B","9241932","IMO","3EHZ8","HARU","PAN","PAN","","FO","NAP","113.37","4521.0","GRT","5735.0","m3","HARU","2001","012","Panama","10.0","4012.06","INMSAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WORLD FISH ENTERPRISE CO.,LTD","NO. 8, CHIEN CHIN 1ST STREET, CHIEN JENN DISTRICT, KAOHSIUNG","TAIWAN","","CHN","WORLD FISH ENTERPRISE CO.,LTD","NO. 8, CHIEN CHIN 1ST STREET, CHIEN JENN DISTRICT, KAOHSIUNG","TAIWAN","","CHN"
"AT0060685","AT000PAN00282","55583-PEXT-F-5","9797917","IMO","HOA7580","ORANGE ICE","PAN","PAN","","FO","NAP","131.15","7139.0","GRT","8323.99","m3","ORANGE ICE","2018","013","Panama","10.3","5951.74","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TACHIBANAYA CO., LTD. (95%).","1-8-55, Kokubu 1-chome, Imabari City, Ehime-Pref., 799-1595 Japan.","JAPAN","","JPN","TACHIBANAYA CO., LTD. (95%).","1-8-55, Kokubu 1-chome, Imabari City, Ehime-Pref., 799-1595 Japan.","JAPAN","","JPN"
"AT0060703","AT000PAN00298","51154-20-C","9194957","IMO","3EOF5","KANO REEFER","PAN","PAN","","FO","NAP","133.61","8507.0","GRT","13138.0","m3","KANO REEFER","1999","012","Panama","13.0","14749.3","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MARINE GROWTH, S.A.","VIA ESPAÑA 122, DELTA TOWER, FLOOR 14, CITY OF PANAMA","Panama","","PAN","MARINE GROWTH, S.A.","VIA ESPAÑA 122, DELTA TOWER, FLOOR 14, CITY OF PANAMA","Panama","","PAN"
"AT0060704","AT000PAN00299","51116-20-B","9194921","IMO","3FOM6","COOL GIRL","PAN","PAN","","FO","NAP","133.61","8507.0","GRT","14892.5","m3","COOL GIRL","1999","012","Panama","13.0","14749.3","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DAYLIGHT SHIPPING S.A","SAMUEL LEWIS AVENUE, COMOSA BUILDING 1ST f","Panama","","PAN","DAYLIGHT SHIPPING S.A","SAMUEL LEWIS AVENUE, COMOSA BUILDING 1ST f","Panama","","PAN"
"AT0060708","AT000PAN00301","51248-20-A","9070137","IMO","H9JS","HE TAI","PAN","PAN","","FO","NAP","142.13","10374.0","GRT","14892.5","m3","HE TAI","1993","012","Panama","13.2","15084.5","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HE TAI SHIPPING LIMITED","FLOOR 2 NO. 69, HUANCHENG EAST ROAD, DINGHAI, ZHOUSHAN","ZHEJIANG","","CHN","HE TAI SHIPPING LIMITED","FLOOR 2 NO. 69, HUANCHENG EAST ROAD, DINGHAI, ZHOUSHAN","ZHEJIANG","","CHN"
"AT0061245","AT000PAN00302","51301-20-B","9143752","IMO","3FPV3","FRIO GALICIA","PAN","PAN","","FO","NAP","134.74","8917.0","GRT","14819.1","m3","FRIO GALICIA","1997","012","Panama","13.0","12904.8","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AXELIA MARITIME S.A.","SAMUEL LEWIS AV., COMOSA BUILDING, FIRST FLOOR","PANAMA","","PAN","AXELIA MARITIME S.A.","SAMUEL LEWIS AV., COMOSA BUILDING, FIRST FLOOR","PANAMA","","PAN"
"AT0061253","AT000PAN00303","51029-20-C","9172947","IMO","H9FY","FRIO STAR","PAN","PAN","","FO","NAP","140.18","9307.0","GRT","15152.0","m3","FRIO STAR","1998","012","Panama","13.3","16919.6","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLMAR SHIPPING S.A.","AVENIDA SAMUEL LEWIS, EDIFICIO COMOSA, PRIMER PISO, CIUDAD DE PANAMÁ, REPÚBLICA DE PANAMÁ","PANAMA","","PAN","SOLMAR SHIPPING S.A.","AVENIDA SAMUEL LEWIS, EDIFICIO COMOSA, PRIMER PISO, CIUDAD DE PANAMÁ, REPÚBLICA DE PANAMÁ","PANAMA","","PAN"
"AT0061909","AT000PAN00313","51437-20-C","9181170","IMO","3EFL4","INVINCIBLE","PAN","PAN","","FO","NAP","141.15","10532.0","GRT","14482.7","un","INVINCIBLE","1999","012","PAN","13.0","15971.8","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPRINGWAVE SHIPPING S.A.","DELTA EDIFICIO OFC. 122 PISO 14 VIA ESPAÑA","PANAMA","","PAN","SPRINGWAVE SHIPPING S.A.","DELTA EDIFICIO OFC. 122 PISO 14 VIA ESPAÑA","PANAMA","","PAN"
"AT0061942","AT000PAN00315","23595-97-G","9151113","IMO","3FWY6","PROCYON","PAN","PAN","","FO","NAP","135.4","9083.0","GRT","14447.5","m3","PROCYON","1997","012","Panama","13.0","12904.8","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BLUEMARE MARITIME S.A.","Dirección / Address: AVENIDA SAMUEL LEWIS EDIFICIO COMOSA, PRIMER PISO, PANAMA","Panama","","PAN","BLUEMARE MARITIME S.A.","Dirección / Address: AVENIDA SAMUEL LEWIS EDIFICIO COMOSA, PRIMER PISO, PANAMA","Panama","","PAN"
"AT0065441","AT000PAN00334","47912-16-C","8609979","IMO","3EFA6","SEIN GRACE","PAN","PAN","","FO","NAP","117.31","4963.0","GRT","7671.83","un","SEIN GRACE ","1986","012","PAN","9.85","6903.49","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SKY REEFER S.A","WILLIAMSON PLACE, BLDG 0764-F, LA BOCA, BALBOA, CITY OF PANAMA, THE REPUBLIC PANAMA","PANAMA","PAN","PAN","SKY REEFER S.A","WILLIAMSON PLACE, BLDG 0764-F, LA BOCA, BALBOA, CITY OF PANAMA, THE REPUBLIC PANAMA","PANAMA","PAN","PAN"
"AT0065477","AT000PAN00335","42446-11-D","8609981","IMO","3FTJ4","SEIN PRINCESS","PAN","PAN","","FO","NAP","117.31","4963.0","GRT","7663.65","un","SEIN PRINCESS","1986","012","PAN","9.85","7001.0","IRIDIUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRINCESS REEFER S.A","WILLIAMSON PLACE, BLDG 0764-F, LA BOCA, BALBOA, CITY OF PANAMA, THE REPUBLIC PANAMA","PANAMA","","PAN","PRINCESS REEFER S.A","WILLIAMSON PLACE, BLDG 0764-F, LA BOCA, BALBOA, CITY OF PANAMA, THE REPUBLIC PANAMA","PANAMA","","PAN"
"AT0066065","ATEU0LTU00016","59502-PEXT","8920983","IMO","3E8484","HARENGUS","PAN","PAN","","FO","NAP","120.1","5084.0","GRT","7525.8","m3","KL933","1992","017","PANAMA","9.8","4045.0","INMSAT-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AURA LOGISTICS LTD","Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands MH 96960","MAJURO","96960","MHL","AURA LOGISTICS LTD","Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands MH 96960","MAJURO","96960","MHL"
