ESTADO,VESSEL NAME / NOMBRE DE LA NAVE,SHIPOWNER / PROPIETARIO,LICENSE / LICENCIA,LICENSE TYPE/ TIPO DE LICENCIA,VESSEL TYPE / TIPO DE EMBARCACIÓN - FISHING GEAR / ARTE DE PESCA,IMO,IRCS / LETRAS DE RADIO,NATIONAL REGISTER NUMBER / PATENTE DE NAVEGACION,LENGHT / ESLORA,GROSS TONNAGE / TONELAJE DE REGISTRO BRUTO (TRB),HOLD CAPACITY (M3) / CAPACIDAD DE BODEGA (M 3 ),VALID LICENSE DATE / FECHA DE VENCIMIENTO DE LA LICENCIA,link
VIGENTE,ALBACORA CARIBE,"INTEGRAL FISHING SERVICES, INC.",05-102-3597-14-1475,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8716825,H9HB,3518-PEXT-F-15,67.38,2136.0,1881.0,2026-08-07,https://vu.arap.gob.pa/c/clint/
VIGENTE,ALMIRANTE 1,ATUNERA DEL ISTMO S.A.,05-102-3599-114-1549,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7409164,HP9963,50912-19-B,66.0,1967.0,1358.0,2027-02-15,https://vu.arap.gob.pa/c/clint/
VIGENTE,AMAGI,"NEW POWER SHIP, S.A",04-105-4726-235-1358,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9170963,H3FL,51839-20-A,88.11,2782.0,3793.93,2025-09-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,ANGARA,ANGARA SHIPPING LTD.,06-105-3687-110-1454,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9136890,3FVD,43967-12-CH,93.36,3767.0,4766.0,2026-06-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,ANGEL 118,EVER TRIUMPH HOLDINGS LIMITED,04-103-5285-189-1419,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9105310,3FWP4,52541-21-B,98.0,2973.0,0.0,2026-03-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,ANGEL 38,EAGERWAY LIMITED,04-103-5958-249-1352,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9175743,3E2437,52578-21-A,117.02,5994.0,0.0,2025-09-30,https://vu.arap.gob.pa/c/clint/
VIGENTE,ANGEL NO.1,HARBOUR HERO INTERNATIONAL LIMITED,06-103-3697-169-1453,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9434709,3EAT7,49545-18-CH,120.15,8559.0,0.0,2026-06-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,ANGEL NO.2,ALL PERFECTION LIMITED,04-103-3698-197-1405,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9146027,HPTG,50267-19-B,122.53,9488.0,0.0,2026-02-09,https://vu.arap.gob.pa/c/clint/
VIGENTE,ASTRAEA,KFC SHIPPING S.A.,04-105-3700-180-1312,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9832523,3EDY4,49886-18-B,77.1,2164.0,1794.9,2025-07-26,https://vu.arap.gob.pa/c/clint/
VIGENTE,AT GLORY,HARBOUR LEAD INVESTMENTS LIMITED,06-103-4563-228-1462,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9223710,H3DO,27041-00-J,103.11,5101.0,0.0,2026-07-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,AVUNDA REEFER,"LILIUM SHIPPING CO., S.A.",06-105-3701-72-1564,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9072824,3EJD5,46927-15-C,125.01,7313.0,7371.0,2027-03-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,B. SKY,"SKY MARINE HOLDINGS CO., LTD.",06-103-9093-278-1562,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9381627,3E8350,56276-25,98.12,4029.0,0.0,2027-03-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,BAO LUCKY,"KINGFISHERS SHIPPING CO., LTD",06-105-3702-155-1500,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9602837,3FBE9,48534-17-B,114.88,7939.0,10820.2,2026-10-16,https://vu.arap.gob.pa/c/clint/
VIGENTE,BAO WIN,"BAO POWER SHIPPING CO., LTD.",06-105-3704-76-1574,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9109263,H3OD,27341-00-F,83.76,2596.0,4031.23,2027-05-12,https://vu.arap.gob.pa/c/clint/
VIGENTE,BARAKA,NAVATUN S.A.,05-102-3600-27-1516,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8103107,HO4222,32239-06-D,64.8,1091.28,1287.0,2026-11-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,BELLE ISLE,PESQUERA GALICIA S.A,03-102-7191-135-1398,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9679634,3E7499,54995-24-A,79.7,2667.0,1630.0,2026-01-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,BELLE RIVE,PESQUERA GALICIA S.A,03-102-7748-136-1399,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9679622,3E7500,54988-24-C,79.7,2667.0,1630.0,2026-01-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,BELOUVE,"D´ARTAGNAN FISHING, S.A",05-102-8210-137-1469,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,9653848,3BTL,55432-24,79.7,2667.0,1630.0,2026-06-21,https://vu.arap.gob.pa/c/clint/
VIGENTE,BOYANG ALASKA,BY ALASKA S.A.,06-105-3705-206-1573,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9851206,3FDP7,50339-19-A,127.81,6592.0,8710.45,2027-05-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,BOYANG BERING,BY BERING S.A,06-105-3706-201-1572,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9851191,3EGZ,50214-19-A,127.81,6592.0,8710.45,2027-05-16,https://vu.arap.gob.pa/c/clint/
VIGENTE,BOYANG CAPELLA,STRAITS BREEZE S.A.,06-105-4442-220-1555,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9886794,3FEZ2,51242-20-A,127.81,6655.0,8632.05,2027-03-30,https://vu.arap.gob.pa/c/clint/
VIGENTE,CAYO CRASQUI,"PESQUERA CRASQUI S.A.,",03-102-4930-124-788,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8718079,HO7203,53053-22,69.8,1518.0,1274.0,2032-02-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,CAYO NORONKY,"PESQUERA NORONKY, S.A.",05-102-4929-123-1436,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8107139,HP3573,51418-20,62.26,1466.0,1311.0,2031-04-22,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHACAO,CAPITAL PROPERTY INTERNATIONAL INC.,03-102-3650-2-1311,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7915917,3EBT3,31349-06-H,70.87,1835.0,1633.0,2025-06-28,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHIKUMA,"OCEANWIDE SHIPPING, S.A.",06-105-5430-241-1561,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9666493,3EGV3,52265-21-A,127.81,6558.0,8044.56,2027-04-13,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 818,GENESIS OCEAN S.A.,05-101-3632-108-1458,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8652809,HO9938,51558-20-C,22.0,99.0,175.3,2026-06-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 828,GENESIS OCEAN S.A.,05-101-3633-109-1445,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8652811,HP2285,51541-20-B,22.0,99.0,175.003,2026-05-13,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 838,GENESIS OCEAN S.A.,05-101-3634-110-1440,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8652471,HO9677,51538-20-B,22.0,99.0,175.3,2026-05-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 858,GENESIS OCEAN S.A.,05-101-3636-111-1446,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8652483,HO9536,51542-20-C,22.0,99.0,175.3,2026-05-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 95,GENESIS OCEAN S.A.,05-101-3642-72-1426,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,8968492,HP3175,49832-18-B,32.0,179.0,210.0,2026-04-08,https://vu.arap.gob.pa/c/clint/
VIGENTE,CHUNG KUO NO. 96,GENESIS OCEAN S.A.,05-101-3643-23-1494,Licencia de Pesca Comercial de Servicio Internacional de captura,Palangre,9723198,HO7626,51511-20-B,32.0,179.0,210.0,2026-10-04,https://vu.arap.gob.pa/c/clint/
VIGENTE,CONCORD BREEZE,ARGON STONE LIMITED,04-103-8406-271-1392,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9319698,3E7466,55065-24,235.0,61822.0,0.0,2025-12-27,https://vu.arap.gob.pa/c/clint/
VIGENTE,CONCORD SERENITY,NEW SHORE DEVELOPMENTS LIMITED,04-103-6147-260-1414,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Oil Tanker Vessel / Buque Tanquero,9277785,3E3402,53249-22-C,220.99,42470.0,0.0,2026-03-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,CONNIE JEAN TWO,YETEN SERVICES CORPORATION,05-102-3646-21-1491,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,6707038,HO6801,43991-12-E,41.48,694.0,742.0,2026-08-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,CONTADORA I,"MAYTE BUSINESS, S.A",05-102-8301-133-1496,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7385409,3E3916,53907-PEXT-1,76.23,1889.0,1907.0,2026-10-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,COOL GIRL,DAYLIGHT SHIPPING S.A,06-105-4157-211-1536,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9194921,3FOM6,51116-20-A,133.61,8507.0,14892.5,2026-12-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,DALMACIA C,"DALMACIA MAR, S.A.",05-102-3649-113-1504,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,8908662,HP5683,53987-23-A,35.23,562.83,454.0,2026-08-23,https://vu.arap.gob.pa/c/clint/
VIGENTE,DELIA,INTEGRAL FISHING SERVICES INC.,05-102-5782-117-1530,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7383724,HP8334,24557-PEXT-6,55.88,1038.0,995.0,2026-11-29,https://vu.arap.gob.pa/c/clint/
VIGENTE,DELIA,INTEGRAL FISHING SERVICES INC.,05-102-5782-117-1565,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7383724,HP8334,24557-PEXT-6,55.88,1038.0,995.0,2027-03-31,https://vu.arap.gob.pa/c/clint/
VIGENTE,DINOK,"NOK CO. LTD., S.A.",06-105-3709-39-1571,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8908234,HOAJ,28548-02-F,113.37,4392.0,6767.0,2027-05-11,https://vu.arap.gob.pa/c/clint/
VIGENTE,DOÑA LUCIA,BONITO DEL NORTE CORP,05-102-3651-38-1531,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7910670,HO9682,49357-18-CH,65.4,1567.0,1360.0,2026-12-26,https://vu.arap.gob.pa/c/clint/
VIGENTE,EITA MARU,"KOO´S SHIPPING COMPANY, S.A",06-105-3711-126-1484,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9109287,HPLA,29733-04-E,83.76,2581.0,3767.6101,2026-08-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,EL MARQUEZ,MANTARAYA FISHING CORP.,03-102-3652-63-1397,Licencia Internacional de Pesca de captura,Red de Cerco,7515652,HO3272,30927-05-J,41.48,650.0,486.0,2026-01-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,ESTHERCHO,"MAYTE BUSINESS, S.A",05-102-3653-88-1467,Licencia de Pesca Comercial de Servicio Internacional de captura,Red de Cerco,7207499,3EEO3,33662-08-F,51.6,1457.0,1170.0,2026-08-24,https://vu.arap.gob.pa/c/clint/
VIGENTE,EURO STAR,EURO STAR SHIPPING INC.,06-105-3712-118-1476,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8319055,3EJQ3,33110-07-D,100.98,4364.0,4400.0,2026-07-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,FENG LU,TILLAGE SEA PTE.LTD,06-105-3753-164-1472,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9003158,3ERI4,49334-18-C,96.94,3519.0,4370.56,2026-07-10,https://vu.arap.gob.pa/c/clint/
VIGENTE,FENG YU,OCEAN CENTURY PTE. LTD,06-105-3838-1-1438,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9016076,3EAX9,19877-91-H,110.22,5024.0,7665.0,2026-05-14,https://vu.arap.gob.pa/c/clint/
VIGENTE,FONG KUO NO. 818,F.K. OVERSEAS CORP.,06-105-3714-30-1518,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8904070,3EPS8,33813-08-CH,106.38,5286.0,7694.0,2026-12-02,https://vu.arap.gob.pa/c/clint/
VIGENTE,FONG KUO NO. 819,F.K. OVERSEAS CORP.,06-105-3715-54-1520,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8913992,3FCY3,42061-10-CH,106.38,5131.0,7224.0037,2027-01-18,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO AEGEAN,ROSSE OCEANWAY S.A,06-105-3716-174-1449,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9172703,3FTB8,25850-98-H,120.98,6973.0,10615.4004,2026-06-05,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO CARIBIC,MARITIME VELVET S.A.,04-105-8231-269-1354,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9078476,HOA3091,56445-PEXT-1,127.75,5994.0,8727.0,2025-09-05,https://vu.arap.gob.pa/c/clint/
SUSPENDIDA,FRIO GALICIA,AXELIA MARITIME S.A.,06-105-4185-217-1542,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9143752,3FPV3,51301-20-A,134.74,8917.0,14819.1,2027-01-29,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO HELLENIC,EXPLORER MARINE S.A,04-105-3720-44-1344,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9081679,3FVQ8,26371-99-H,143.3,9997.0,14141.53,2025-07-13,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO LAS PALMAS,SEABORN HONOR S.A,04-105-3721-52-1395,Licencia Internacional de Pesca de actividades relacionadas a la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8908193,3EBI9,46705-15-E,140.44,9070.0,14231.64,2026-01-13,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO POSEIDON,"DREAM FAITH, S.A",06-105-3727-23-1498,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,8807662,3EHL5,46561-15-B,140.44,9072.0,7163.0,2026-09-20,https://vu.arap.gob.pa/c/clint/
VIGENTE,FRIO STAR,SOLMAR SHIPPING S.A.,06-105-4297-218-1544,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9172947,H9FY,44932-PEXT-2,140.18,9307.0,15152.0,2027-02-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,FUSION ENERGY,FUSION TRADE CO.,06-103-9002-277-1553,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Oil Tanker Vessel / Buque Tanquero,9259329,HO8563,49614-18-C,221.11,41418.0,0.0,2027-02-06,https://vu.arap.gob.pa/c/clint/
VIGENTE,FUTAGAMI,"HONGKONG LHF PELAGIC CO., LIMITED",06-105-3730-200-1535,Licencia de Pesca Comercial de Servicio Internacional de actividades relacionadas con la pesca,Cargo Reefer Vessel / Buque de Carga Refrigerada,9105293,3FCH7,50183-19-A,83.76,2581.0,4029.75,2027-01-29,https://vu.arap.gob.pa/c/clint/
